plate,well,id,cycle,target,rn,delta_rn,quantity
P1,1,P1-1,1,Target 1,0.895,0.022,0.5
P1,1,P1-1,2,Target 1,0.884,0.011,0.5
P1,1,P1-1,3,Target 1,0.878,0.005,0.5
P1,1,P1-1,4,Target 1,0.877,0.004,0.5
P1,1,P1-1,5,Target 1,0.877,0.002,0.5
P1,1,P1-1,6,Target 1,0.876,0.002,0.5
P1,1,P1-1,7,Target 1,0.876,0.001,0.5
P1,1,P1-1,8,Target 1,0.875,-0.001,0.5
P1,1,P1-1,9,Target 1,0.875,-0.001,0.5
P1,1,P1-1,10,Target 1,0.874,-0.002,0.5
P1,1,P1-1,11,Target 1,0.876,-0.001,0.5
P1,1,P1-1,12,Target 1,0.876,-0.001,0.5
P1,1,P1-1,13,Target 1,0.875,-0.003,0.5
P1,1,P1-1,14,Target 1,0.875,-0.003,0.5
P1,1,P1-1,15,Target 1,0.876,-0.003,0.5
P1,1,P1-1,16,Target 1,0.877,-0.003,0.5
P1,1,P1-1,17,Target 1,0.877,-0.003,0.5
P1,1,P1-1,18,Target 1,0.878,-0.003,0.5
P1,1,P1-1,19,Target 1,0.877,-0.004,0.5
P1,1,P1-1,20,Target 1,0.878,-0.004,0.5
P1,1,P1-1,21,Target 1,0.879,-0.004,0.5
P1,1,P1-1,22,Target 1,0.88,-0.003,0.5
P1,1,P1-1,23,Target 1,0.886,0.003,0.5
P1,1,P1-1,24,Target 1,0.888,0.004,0.5
P1,1,P1-1,25,Target 1,0.889,0.004,0.5
P1,1,P1-1,26,Target 1,0.888,0.002,0.5
P1,1,P1-1,27,Target 1,0.889,0.003,0.5
P1,1,P1-1,28,Target 1,0.89,0.004,0.5
P1,1,P1-1,29,Target 1,0.889,0.003,0.5
P1,1,P1-1,30,Target 1,0.889,0.002,0.5
P1,1,P1-1,31,Target 1,0.89,0.002,0.5
P1,1,P1-1,32,Target 1,0.891,0.003,0.5
P1,1,P1-1,33,Target 1,0.892,0.003,0.5
P1,1,P1-1,34,Target 1,0.891,0.002,0.5
P1,1,P1-1,35,Target 1,0.89,0.001,0.5
P1,1,P1-1,36,Target 1,0.891,0.001,0.5
P1,1,P1-1,37,Target 1,0.892,0.001,0.5
P1,1,P1-1,38,Target 1,0.892,0.001,0.5
P1,1,P1-1,39,Target 1,0.892,0.001,0.5
P1,1,P1-1,40,Target 1,0.893,0,0.5
P1,1,P1-1,41,Target 1,0.893,0,0.5
P1,1,P1-1,42,Target 1,0.894,0.001,0.5
P1,1,P1-1,43,Target 1,0.894,0,0.5
P1,1,P1-1,44,Target 1,0.894,0,0.5
P1,1,P1-1,45,Target 1,0.895,0,0.5
P1,1,P1-1,46,Target 1,0.896,0,0.5
P1,1,P1-1,47,Target 1,0.897,0.001,0.5
P1,1,P1-1,48,Target 1,0.896,-0.001,0.5
P1,1,P1-1,49,Target 1,0.896,-0.001,0.5
P1,1,P1-1,50,Target 1,0.897,-0.001,0.5
P1,1,P1-1,51,Target 1,0.896,-0.002,0.5
P1,1,P1-1,52,Target 1,0.897,-0.002,0.5
P1,1,P1-1,53,Target 1,0.897,-0.002,0.5
P1,1,P1-1,54,Target 1,0.897,-0.003,0.5
P1,1,P1-1,55,Target 1,0.898,-0.002,0.5
P1,2,P1-2,1,Target 1,0.87,0.012,0.5
P1,2,P1-2,2,Target 1,0.864,0.005,0.5
P1,2,P1-2,3,Target 1,0.861,0.002,0.5
P1,2,P1-2,4,Target 1,0.861,0.002,0.5
P1,2,P1-2,5,Target 1,0.86,0.001,0.5
P1,2,P1-2,6,Target 1,0.858,0,0.5
P1,2,P1-2,7,Target 1,0.858,-0.001,0.5
P1,2,P1-2,8,Target 1,0.859,0,0.5
P1,2,P1-2,9,Target 1,0.859,0,0.5
P1,2,P1-2,10,Target 1,0.859,0,0.5
P1,2,P1-2,11,Target 1,0.858,-0.001,0.5
P1,2,P1-2,12,Target 1,0.858,-0.001,0.5
P1,2,P1-2,13,Target 1,0.859,-0.001,0.5
P1,2,P1-2,14,Target 1,0.859,0,0.5
P1,2,P1-2,15,Target 1,0.859,0,0.5
P1,2,P1-2,16,Target 1,0.86,0,0.5
P1,2,P1-2,17,Target 1,0.86,0,0.5
P1,2,P1-2,18,Target 1,0.858,-0.002,0.5
P1,2,P1-2,19,Target 1,0.859,-0.001,0.5
P1,2,P1-2,20,Target 1,0.86,-0.001,0.5
P1,2,P1-2,21,Target 1,0.86,-0.001,0.5
P1,2,P1-2,22,Target 1,0.86,0,0.5
P1,2,P1-2,23,Target 1,0.86,-0.001,0.5
P1,2,P1-2,24,Target 1,0.86,0,0.5
P1,2,P1-2,25,Target 1,0.861,0.001,0.5
P1,2,P1-2,26,Target 1,0.861,0,0.5
P1,2,P1-2,27,Target 1,0.861,0,0.5
P1,2,P1-2,28,Target 1,0.86,-0.001,0.5
P1,2,P1-2,29,Target 1,0.86,-0.001,0.5
P1,2,P1-2,30,Target 1,0.861,0,0.5
P1,2,P1-2,31,Target 1,0.862,0,0.5
P1,2,P1-2,32,Target 1,0.863,0.002,0.5
P1,2,P1-2,33,Target 1,0.862,0.001,0.5
P1,2,P1-2,34,Target 1,0.863,0.001,0.5
P1,2,P1-2,35,Target 1,0.867,0.005,0.5
P1,2,P1-2,36,Target 1,0.875,0.014,0.5
P1,2,P1-2,37,Target 1,0.894,0.032,0.5
P1,2,P1-2,38,Target 1,0.926,0.065,0.5
P1,2,P1-2,39,Target 1,0.986,0.124,0.5
P1,2,P1-2,40,Target 1,1.082,0.22,0.5
P1,2,P1-2,41,Target 1,1.217,0.355,0.5
P1,2,P1-2,42,Target 1,1.383,0.52,0.5
P1,2,P1-2,43,Target 1,1.551,0.688,0.5
P1,2,P1-2,44,Target 1,1.698,0.835,0.5
P1,2,P1-2,45,Target 1,1.816,0.954,0.5
P1,2,P1-2,46,Target 1,1.901,1.039,0.5
P1,2,P1-2,47,Target 1,1.964,1.101,0.5
P1,2,P1-2,48,Target 1,2.008,1.145,0.5
P1,2,P1-2,49,Target 1,2.037,1.174,0.5
P1,2,P1-2,50,Target 1,2.059,1.196,0.5
