Well,Fluor,Sample,Cq,SQ,Target,outlier,SQ_conc
P3-1,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-2,FAM,STD_0.5,38.496,1,CytB,FALSE,0.5
P3-3,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-4,FAM,STD_0.5,39.306,1,CytB,FALSE,0.5
P3-5,FAM,STD_0.5,37.949,1,CytB,FALSE,0.5
P3-6,FAM,STD_0.5,39.251,1,CytB,FALSE,0.5
P3-7,FAM,STD_0.5,38.362,1,CytB,FALSE,0.5
P3-8,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-9,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-10,FAM,STD_0.5,38.298,1,CytB,FALSE,0.5
P3-11,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-12,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-13,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-14,FAM,STD_0.5,38.101,1,CytB,FALSE,0.5
P3-15,FAM,STD_0.5,39.28,1,CytB,FALSE,0.5
P3-16,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-17,FAM,STD_0.5,37.258,1,CytB,FALSE,0.5
P3-18,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-19,FAM,STD_0.5,39.371,1,CytB,FALSE,0.5
P3-20,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-21,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-22,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-23,FAM,STD_0.5,NaN,1,CytB,FALSE,0.5
P3-24,FAM,STD_0.5,38.284,1,CytB,FALSE,0.5
P3-25,FAM,STD_1,37.486,2,CytB,FALSE,1
P3-26,FAM,STD_1,38.319,2,CytB,FALSE,1
P3-27,FAM,STD_1,38.363,2,CytB,FALSE,1
P3-28,FAM,STD_1,NaN,2,CytB,FALSE,1
P3-29,FAM,STD_1,39.411,2,CytB,FALSE,1
P3-30,FAM,STD_1,37.786,2,CytB,FALSE,1
P3-31,FAM,STD_1,NaN,2,CytB,FALSE,1
P3-32,FAM,STD_1,39.405,2,CytB,FALSE,1
P3-33,FAM,STD_1,38.408,2,CytB,FALSE,1
P3-34,FAM,STD_1,38.35,2,CytB,FALSE,1
P3-35,FAM,STD_1,NaN,2,CytB,FALSE,1
P3-36,FAM,STD_1,38.358,2,CytB,FALSE,1
P3-37,FAM,STD_1,37.811,2,CytB,FALSE,1
P3-38,FAM,STD_1,38.717,2,CytB,FALSE,1
P3-39,FAM,STD_1,37.278,2,CytB,FALSE,1
P3-40,FAM,STD_1,37.289,2,CytB,FALSE,1
P3-41,FAM,STD_1,NaN,2,CytB,FALSE,1
P3-42,FAM,STD_1,NaN,2,CytB,FALSE,1
P3-43,FAM,STD_1,38.251,2,CytB,FALSE,1
P3-44,FAM,STD_1,38.277,2,CytB,FALSE,1
P3-45,FAM,STD_1,39.31,2,CytB,FALSE,1
P3-46,FAM,STD_1,37.307,2,CytB,FALSE,1
P3-47,FAM,STD_1,37.238,2,CytB,FALSE,1
P3-48,FAM,STD_1,39.431,2,CytB,FALSE,1
P3-49,FAM,STD_10,35.352,20,CytB,FALSE,10
P3-50,FAM,STD_10,35.355,20,CytB,FALSE,10
P3-51,FAM,STD_10,35.171,20,CytB,FALSE,10
P3-52,FAM,STD_10,34.976,20,CytB,FALSE,10
P3-53,FAM,STD_10,35.49,20,CytB,FALSE,10
P3-54,FAM,STD_10,34.768,20,CytB,FALSE,10
P3-55,FAM,STD_10,34.757,20,CytB,FALSE,10
P3-56,FAM,STD_10,36.17,20,CytB,FALSE,10
P3-57,FAM,STD_10,36.053,20,CytB,FALSE,10
P3-58,FAM,STD_10,34.909,20,CytB,FALSE,10
P3-59,FAM,STD_10,34.985,20,CytB,FALSE,10
P3-60,FAM,STD_10,35.223,20,CytB,FALSE,10
P3-61,FAM,STD_10,34.536,20,CytB,FALSE,10
P3-62,FAM,STD_10,35.137,20,CytB,FALSE,10
P3-63,FAM,STD_10,35.463,20,CytB,FALSE,10
P3-64,FAM,STD_10,34.578,20,CytB,FALSE,10
P3-65,FAM,STD_10,35.157,20,CytB,FALSE,10
P3-66,FAM,STD_10,35.752,20,CytB,FALSE,10
P3-67,FAM,STD_10,35.601,20,CytB,FALSE,10
P3-68,FAM,STD_10,34.885,20,CytB,FALSE,10
P3-69,FAM,STD_10,35.631,20,CytB,FALSE,10
P3-70,FAM,STD_10,35.234,20,CytB,FALSE,10
P3-71,FAM,STD_10,34.816,20,CytB,FALSE,10
P3-72,FAM,STD_10,34.817,20,CytB,FALSE,10
P3-73,FAM,STD_100,31.454,200,CytB,FALSE,100
P3-74,FAM,STD_100,31.81,200,CytB,FALSE,100
P3-75,FAM,STD_100,31.66,200,CytB,FALSE,100
P3-76,FAM,STD_100,31.736,200,CytB,FALSE,100
P3-77,FAM,STD_100,31.69,200,CytB,FALSE,100
P3-78,FAM,STD_100,31.973,200,CytB,FALSE,100
P3-79,FAM,STD_100,31.736,200,CytB,FALSE,100
P3-80,FAM,STD_100,31.625,200,CytB,FALSE,100
P3-81,FAM,STD_100,31.452,200,CytB,FALSE,100
P3-82,FAM,STD_100,31.59,200,CytB,FALSE,100
P3-83,FAM,STD_100,31.596,200,CytB,FALSE,100
P3-84,FAM,STD_100,31.86,200,CytB,FALSE,100
P3-85,FAM,STD_100,31.913,200,CytB,FALSE,100
P3-86,FAM,STD_100,31.799,200,CytB,FALSE,100
P3-87,FAM,STD_100,31.357,200,CytB,FALSE,100
P3-88,FAM,STD_100,31.492,200,CytB,FALSE,100
P3-89,FAM,STD_100,31.547,200,CytB,FALSE,100
P3-90,FAM,STD_100,31.353,200,CytB,FALSE,100
P3-91,FAM,STD_100,31.921,200,CytB,FALSE,100
P3-92,FAM,STD_100,31.771,200,CytB,FALSE,100
P3-93,FAM,STD_100,31.855,200,CytB,FALSE,100
P3-94,FAM,STD_100,31.769,200,CytB,FALSE,100
P3-95,FAM,STD_100,31.644,200,CytB,FALSE,100
P3-96,FAM,STD_100,31.419,200,CytB,FALSE,100
P2-1,FAM,STD_1000,28.7264773,2000,CytB,FALSE,1000
P2-2,FAM,STD_1000,28.85402622,2000,CytB,FALSE,1000
P2-3,FAM,STD_1000,27.72641237,2000,CytB,FALSE,1000
