Well,Cycle,Target Name,Rn,Delta Rn
1,1,FAM,0.819,0.012
1,2,FAM,0.814,0.007
1,3,FAM,0.812,0.005
1,4,FAM,0.809,0.002
1,5,FAM,0.808,0.001
1,6,FAM,0.808,0.001
1,7,FAM,0.809,0.001
1,8,FAM,0.808,0.000
1,9,FAM,0.808,0.000
1,10,FAM,0.808,0.000
1,11,FAM,0.808,-0.001
1,12,FAM,0.807,-0.001
1,13,FAM,0.808,0.000
1,14,FAM,0.808,0.000
1,15,FAM,0.807,-0.001
1,16,FAM,0.807,-0.002
1,17,FAM,0.806,-0.003
1,18,FAM,0.807,-0.002
1,19,FAM,0.807,-0.002
1,20,FAM,0.807,-0.002
1,21,FAM,0.808,-0.001
1,22,FAM,0.809,-0.001
1,23,FAM,0.809,-0.001
1,24,FAM,0.809,-0.001
1,25,FAM,0.809,-0.001
1,26,FAM,0.810,0.000
1,27,FAM,0.810,0.000
1,28,FAM,0.810,0.000
1,29,FAM,0.811,0.001
1,30,FAM,0.813,0.003
1,31,FAM,0.816,0.006
1,32,FAM,0.820,0.010
1,33,FAM,0.831,0.020
1,34,FAM,0.848,0.038
1,35,FAM,0.882,0.072
1,36,FAM,0.943,0.133
1,37,FAM,1.039,0.229
1,38,FAM,1.176,0.365
1,39,FAM,1.339,0.528
1,40,FAM,1.475,0.664
2,1,FAM,0.790,0.011
2,2,FAM,0.786,0.006
2,3,FAM,0.783,0.003
2,4,FAM,0.781,0.001
2,5,FAM,0.781,0.001
2,6,FAM,0.781,0.001
2,7,FAM,0.780,0.000
2,8,FAM,0.780,0.000
2,9,FAM,0.780,0.000
2,10,FAM,0.780,0.000
2,11,FAM,0.779,-0.001
2,12,FAM,0.780,0.000
2,13,FAM,0.780,0.000
2,14,FAM,0.779,-0.001
2,15,FAM,0.779,-0.001
2,16,FAM,0.779,-0.001
2,17,FAM,0.779,-0.001
2,18,FAM,0.779,-0.001
2,19,FAM,0.780,-0.001
2,20,FAM,0.779,-0.001
2,21,FAM,0.779,-0.001
2,22,FAM,0.780,-0.001
2,23,FAM,0.781,0.000
2,24,FAM,0.781,0.000
2,25,FAM,0.780,-0.001
2,26,FAM,0.780,-0.001
2,27,FAM,0.780,-0.001
2,28,FAM,0.781,0.000
2,29,FAM,0.782,0.001
2,30,FAM,0.784,0.002
2,31,FAM,0.786,0.005
2,32,FAM,0.791,0.010
2,33,FAM,0.799,0.018
2,34,FAM,0.813,0.032
2,35,FAM,0.843,0.061
2,36,FAM,0.895,0.114
2,37,FAM,0.982,0.200
2,38,FAM,1.106,0.324
2,39,FAM,1.258,0.476
2,40,FAM,1.391,0.610
3,1,FAM,0.829,0.007
3,2,FAM,0.827,0.005
3,3,FAM,0.825,0.003
3,4,FAM,0.824,0.002
3,5,FAM,0.824,0.002
3,6,FAM,0.823,0.001
3,7,FAM,0.822,0.000
3,8,FAM,0.822,0.000
3,9,FAM,0.822,0.000
3,10,FAM,0.822,0.000
3,11,FAM,0.822,0.000
3,12,FAM,0.822,-0.001
3,13,FAM,0.821,-0.001
3,14,FAM,0.821,-0.001
3,15,FAM,0.821,-0.001
