location,time,longitude,latitude,pressure_dbar,temperature,salinity_permil,conductivity_mS_cm,EC_uS_cm,density_kg_m3,sigmaT,chl.flu_ppb,chl.a_ppb,turbidity_FTU,DO_perc,DO_mg_L,DO_umol_L,battery_V,depth
sP01,2024/07/29 10:50,113.91858,22.205209,0,27.734,27.329,44.86,42314.938,1016.723,16.723,2.58,2.58,1.23,97.19,6.545,204.558,8.14,0
sP01,2024/07/29 10:50,113.91858,22.205209,0.1,27.736,27.338,44.875,42327.091,1016.729,16.728,2.5,2.5,1.32,96.69,6.511,203.485,8.14,0.099375688
sP01,2024/07/29 10:50,113.91858,22.205209,0.2,27.739,27.342,44.883,42332.06,1016.731,16.73,2.65,2.65,1.28,96.59,6.504,203.275,8.1,0.198751328
sP01,2024/07/29 10:50,113.91858,22.205209,0.3,27.739,27.339,44.879,42327.968,1016.729,16.728,3.32,3.32,1.48,96.68,6.51,203.46,8.1,0.29812692
sP01,2024/07/29 10:50,113.91858,22.205209,0.4,27.739,27.339,44.878,42327.631,1016.73,16.728,2.97,2.97,1.41,96.64,6.507,203.36,8.1,0.397502464
sP01,2024/07/29 10:50,113.91858,22.205209,0.5,27.739,27.341,44.881,42330.421,1016.732,16.73,3.22,3.22,1.17,96.71,6.512,203.519,8.08,0.496877959
sP01,2024/07/29 10:50,113.91858,22.205209,0.6,27.741,27.344,44.888,42335.294,1016.734,16.732,2.97,2.97,1.16,96.6,6.504,203.274,8.06,0.596253407
sP01,2024/07/29 10:50,113.91858,22.205209,0.7,27.741,27.351,44.899,42345.365,1016.74,16.737,3.01,3.01,1.22,96.46,6.494,202.963,8.07,0.695628805
sP01,2024/07/29 10:50,113.91858,22.205209,0.8,27.74,27.351,44.898,42345.362,1016.741,16.737,3.17,3.17,1.41,96.65,6.507,203.361,8.06,0.795004156
sP01,2024/07/29 10:50,113.91858,22.205209,0.9,27.742,27.358,44.91,42355,1016.746,16.742,3.58,3.58,1.23,96.75,6.514,203.568,8.06,0.894379459
sP01,2024/07/29 10:50,113.91858,22.205209,1,27.749,27.355,44.911,42349.92,1016.742,16.737,3.38,3.38,1.28,96.66,6.507,203.367,8.06,0.993754713
sP01,2024/07/29 10:50,113.91858,22.205209,1.1,27.733,27.439,45.021,42467.65,1016.81,16.805,3.54,3.54,1.42,96.77,6.514,203.585,8.05,1.093129919
sP01,2024/07/29 10:50,113.91858,22.205209,1.2,27.7,27.473,45.043,42517.56,1016.846,16.841,3.83,3.83,2.12,95.65,6.441,201.307,8.04,1.192505077
sP01,2024/07/29 10:50,113.91858,22.205209,1.3,27.718,27.444,45.015,42475.401,1016.819,16.813,4.07,4.07,1.5,95.03,6.398,199.95,8.05,1.291880187
sP01,2024/07/29 10:50,113.91858,22.205209,1.4,27.696,27.461,45.023,42501.763,1016.84,16.834,3.78,3.78,1.63,95,6.397,199.93,8.06,1.391255248
sP01,2024/07/29 10:50,113.91858,22.205209,1.5,27.686,27.481,45.043,42529.489,1016.858,16.851,3.86,3.86,1.54,94.62,6.372,199.125,8.04,1.490630262
sP01,2024/07/29 10:50,113.91858,22.205209,1.6,27.738,27.44,45.028,42468.972,1016.811,16.804,4.25,4.25,1.37,95.46,6.425,200.797,8.06,1.590005227
sP01,2024/07/29 10:50,113.91858,22.205209,1.7,27.731,27.446,45.03,42477.65,1016.818,16.811,3.99,3.99,1.51,95.8,6.448,201.504,8.05,1.689380143
