sample_name,sur_bot,sample_nc,date,lat,lon,copies_ul,copies_l_seawater,dolphin_sight,depth,temp,salinity,do
sNC1,NA,nc,2024/07/29,22.205709,113.91785,2.875,NA,no,NA,NA,NA,NA
sNC2,NA,nc,2024/07/29,22.232893,113.83878,0,NA,no,NA,NA,NA,NA
sNC3,NA,nc,2024/07/29,22.202203,113.87171,0,NA,no,NA,NA,NA,NA
PCR_NC,NA,nc,NA,NA,NA,0.106,NA,no,NA,NA,NA,NA
OP1,surface,sample,2024/07/16,22.192296,113.8490549,60.941,6094.1,yes,0.1,NA,NA,NA
OP2,surface,sample,2024/07/16,22.192296,113.8490549,45.678,4567.8,yes,0.1,NA,NA,NA
OP_nc,NA,nc,2024/07/16,NA,NA,0,0,no,NA,NA,NA,NA
sP01-S,surface,sample,2024/07/29,22.205209,113.91858,0,0,no,0.2,27.7,27.342,6.504
sP02-S,surface,sample,2024/07/29,22.193664,113.85042,4.059,405.9,yes,0.2,27.5,27.576,6.325
sP03-S,surface,sample,2024/07/29,22.197571,113.8421,2.532,253.2,no,0.2,28.6,16.038,6.707
sP04-S,surface,sample,2024/07/29,22.232893,113.83878,1.358,135.8,no,0.2,28.8,13.071,6.919
sP05-S,surface,sample,2024/07/29,22.23811,113.84201,0,0,no,0.2,28.8,13.802,6.878
sP06-S,surface,sample,2024/07/29,22.242711,113.84382,0,0,no,0.2,28.7,14.685,6.729
sP07-S,surface,sample,2024/07/29,22.24687,113.84658,0,0,no,0.2,28.7,14.704,6.706
sP08-S,surface,sample,2024/07/29,22.250899,113.84781,0,0,no,0.2,28.6,14.327,6.815
sP09-S,surface,sample,2024/07/29,22.255666,113.84977,1.384,138.4,no,0.2,28.7,13.636,6.746
sP10-S,surface,sample,2024/07/29,22.259832,113.85206,4.197,419.7,no,0.2,28.6,15.47,6.441
sP11-S,surface,sample,2024/07/29,22.264438,113.85586,0,0,no,0.2,28.6,15.102,6.451
sP12-S,surface,sample,2024/07/29,22.273257,113.86179,0,0,no,0.2,28.4,17.494,6.548
sP13-S,surface,sample,2024/07/29,22.27828,113.86397,3.898,389.8,no,0.2,28.5,17.809,6.268
sP14-S,surface,sample,2024/07/29,22.282857,113.86405,0,0,no,0.2,28.4,17.818,6.473
sP01-B,bottom,sample,2024/07/29,22.205209,113.91858,2.268,226.8,no,5.763710221,26.757,29.272,4.039
sP02-B,bottom,sample,2024/07/29,22.193664,113.85042,4.601,460.1,yes,7.651786923,27.139,28.01,5.378
sP03-B,bottom,sample,2024/07/29,22.197571,113.8421,7.247,724.7,no,4.968725351,27.399,25.003,4.582
sP04-B,bottom,sample,2024/07/29,22.232893,113.83878,4.251,425.1,no,10.03670104,26.913,26.884,3.614
sP05-B,bottom,sample,2024/07/29,22.23811,113.84201,2.015,201.5,no,8.347389743,27.591,23.79,4.436
sP06-B,bottom,sample,2024/07/29,22.242711,113.84382,2.516,251.6,no,7.949902707,28.055,20.691,5.385
sP07-B,bottom,sample,2024/07/29,22.24687,113.84658,1.566,156.6,no,7.154926321,27.781,21.959,4.302
sP08-B,bottom,sample,2024/07/29,22.250899,113.84781,0,0,no,8.446761381,27.04,25.83,3.514
sP09-B,bottom,sample,2024/07/29,22.255666,113.84977,0,0,no,9.539846223,26.408,28.41,2.55
sP10-B,bottom,sample,2024/07/29,22.259832,113.85206,0,0,no,9.837959258,26.401,28.612,2.411
sP11-B,bottom,sample,2024/07/29,22.264438,113.85586,0,0,no,10.03670104,26.644,27.757,2.968
sP12-B,bottom,sample,2024/07/29,22.273257,113.86179,0,0,no,9.539846223,26.701,27.72,2.836
sP13-B,bottom,sample,2024/07/29,22.27828,113.86397,0,0,no,8.546132971,27.295,25.738,3.618
sP14-B,bottom,sample,2024/07/29,22.282857,113.86405,0,0,no,7.353670706,27.148,26.43,3.789
