obs_ID,date,STG_n,time,hrd_size,area,beau,psd,effort,type,northing,easting,season,boat_assoc,P_or_S,lat_ROK,lon_ROK,hrd_size_ROK
OB0001,2022/04/06,1,1021,11,W_LANTAU,2,503,ON,HKCRP,811258,801302,SPRING,GILLNET,S,22.23970324,113.8376891,11
OB0002,2022/04/06,2,1048,5,W_LANTAU,2,1965,ON,HKCRP,810284,800784,SPRING,NONE,S,22.23089695,113.8326859,5
OB0003,2022/04/06,3,1057,3,W_LANTAU,2,258,ON,HKCRP,808734,800802,SPRING,NONE,S,22.21689999,113.8328946,3
OB0004,2022/04/06,4,1119,1,SW_LANTAU,2,28,ON,HKCRP,806228,802353,SPRING,NONE,S,22.19430048,113.84799,1
OB0005,2022/04/06,6,1154,1,SW_LANTAU,2,238,ON,HKCRP,806865,804860,SPRING,NONE,P,22.20010025,113.8722885,1
OB0006,2022/04/06,7,1216,1,SW_LANTAU,2,4,ON,HKCRP,807293,806542,SPRING,PURSE-SEINE,P,22.20399504,113.888592,1
OB0007,2022/04/07,1,1147,1,SW_LANTAU,2,59,ON,HKCRP,808602,811483,SPRING,GILLNET,P,22.21589392,113.9364893,1
OB0008,2022/04/07,2,1340,12,W_LANTAU,3,254,ON,HKCRP,808402,800873,SPRING,NONE,P,22.21390331,113.8335905,12
OB0009,2022/04/07,3,1434,1,W_LANTAU,2,46,ON,HKCRP,811425,800839,SPRING,NONE,P,22.24120191,113.8331942,1
OB0010,2022/04/07,4,1457,3,W_LANTAU,2,185,ON,HKCRP,812430,802130,SPRING,NONE,P,22.25030357,113.8456961,3
OB0011,2022/04/07,5,1518,1,W_LANTAU,2,80,ON,HKCRP,813571,801926,SPRING,NONE,P,22.26060334,113.8436927,1
OB0012,2022/04/20,1,1039,1,W_LANTAU,2,57,ON,HKCRP,814855,802186,SPRING,NONE,S,22.27220365,113.8461879,1
OB0013,2022/04/20,2,1101,1,W_LANTAU,2,444,ON,HKCRP,813538,801524,SPRING,NONE,P,22.26029729,113.8397933,1
OB0014,2022/04/20,3,1105,3,W_LANTAU,2,635,ON,HKCRP,813085,801141,SPRING,NONE,S,22.25619872,113.8360875,3
OB0015,2022/04/20,4,1117,1,W_LANTAU,2,1396,ON,HKCRP,812477,800954,SPRING,NONE,P,22.25070436,113.8342867,1
OB0016,2022/04/20,5,1155,1,W_LANTAU,2,52,ON,HKCRP,809420,801071,SPRING,NONE,P,22.22310044,113.8354886,1
